IP Address	Number of Adjacencies
14.53.135.183	11
97.39.208.233	6
141.48.205.216	9
25.143.69.18	14
80.58.209.29	7
136.110.233.137	6
138.214.16.56	7
89.46.195.212	3
152.79.135.38	6
89.183.50.245	8
162.143.173.91	10
95.56.242.105	9
162.173.185.52	6
14.244.91.57	7
210.57.251.61	7
128.191.172.128	8
221.208.172.64	6
232.31.152.62	4
254.74.236.180	8
122.198.77.65	8
87.99.151.99	11
43.32.78.39	2
16.88.119.99	11
25.96.156.138	6
97.187.73.10	2
13.194.22.152	8
115.243.17.164	8
136.204.155.97	9
226.251.48.28	3
78.225.190.67	10
60.76.148.71	3
76.218.44.130	1
236.96.172.102	2
100.244.29.230	4
183.130.66.170	6
250.142.80.56	6
188.186.253.44	8
188.236.195.159	11
138.200.234.193	10
45.120.203.87	6
254.32.84.72	6
47.184.253.244	3
43.5.156.240	6
93.51.99.28	4
86.115.164.225	6
100.206.187.20	3
115.178.227.72	2
158.178.71.98	4
91.194.178.91	9
95.12.174.73	5
199.191.157.109	5
219.83.214.126	11
236.80.127.232	9
233.42.164.197	7
238.63.116.169	5
72.11.143.119	8
87.104.57.101	9
175.36.221.98	5
57.18.211.20	8
7.87.10.234	5
4.47.169.185	2
37.101.142.229	7
167.117.123.253	6
204.158.51.194	6
2.210.55.6	6
5.167.80.61	7
36.254.95.182	8
74.166.227.166	6
98.219.49.86	4
28.224.78.126	5
158.15.179.240	7
6.98.88.238	8
65.60.120.39	8
186.153.95.52	9
204.117.86.39	8
5.147.106.202	6
101.165.219.19	6
124.207.152.2	8
122.124.253.36	5
84.30.169.221	7
216.245.69.195	8
219.238.178.201	4
227.25.224.124	4
239.172.8.173	7
22.35.122.219	7
32.9.104.59	7
24.146.82.48	8
30.236.98.117	7
46.238.246.224	9
106.231.81.151	9
131.83.207.181	4
76.135.98.144	1
2.43.168.98	10
23.129.77.249	8
55.42.146.48	6
69.211.18.169	3
139.248.144.125	5
84.183.126.1	3
107.132.87.131	8
85.22.76.200	9
122.221.114.8	5
129.6.32.37	8
73.217.213.58	10
113.110.60.15	13
137.119.208.63	10
23.80.46.128	5
186.104.200.234	3
193.135.39.218	7
58.4.191.238	6
48.248.228.174	7
113.106.207.76	7
210.203.143.154	5
220.211.45.145	4
135.53.227.189	6
210.29.162.246	7
199.101.96.152	2
222.145.178.180	6
143.42.71.79	13
222.188.237.94	7
73.36.217.168	14
52.11.219.4	8
110.96.205.144	9
210.128.102.33	5
228.121.223.117	7
170.173.236.177	7
137.75.207.181	7
147.91.74.252	8
108.79.247.176	7
117.235.223.168	6
120.110.201.22	6
136.61.110.78	9
135.12.2.95	9
19.183.237.65	9
57.246.222.83	10
163.124.201.89	8
9.12.165.80	4
54.219.235.198	7
95.152.132.175	4
123.164.199.188	7
47.149.102.125	6
53.14.185.127	8
56.63.140.63	6
59.31.43.146	6
147.207.139.213	10
190.28.200.253	9
34.50.137.25	13
243.214.135.55	4
203.172.109.246	6
5.6.11.81	5
164.161.233.220	9
71.7.45.153	8
3.53.98.200	3
201.241.160.253	11
29.125.217.241	7
120.20.109.135	5
171.5.150.50	4
32.241.1.91	7
236.66.113.10	6
208.247.227.16	4
114.211.86.205	4
11.57.29.96	4
98.248.128.209	9
8.54.83.172	5
191.143.27.29	5
45.196.192.10	8
47.195.122.75	11
216.26.36.237	4
230.116.112.168	6
57.239.46.162	7
161.193.51.48	8
205.10.164.39	7
244.92.45.21	8
61.120.191.180	10
119.203.110.80	5
82.20.253.101	5
124.138.231.251	8
140.35.162.42	6
148.127.117.120	5
8.90.170.47	12
6.42.105.254	6
15.148.148.234	4
106.150.60.28	7
154.100.225.120	7
35.132.34.152	7
25.140.165.105	2
156.210.60.109	8
117.92.19.127	9
159.133.252.247	3
19.11.194.246	5
194.201.85.58	4
76.112.25.44	10
4.197.186.179	6
167.55.195.141	9
217.61.94.46	4
223.58.102.179	2
179.97.177.50	7
229.38.189.225	6
154.99.131.198	2
29.105.165.119	8
33.36.235.17	6
231.34.119.247	6
232.41.117.157	8
173.99.131.253	6
88.206.115.64	6
106.208.116.62	4
43.74.120.82	7
94.71.31.173	9
107.229.238.159	8
241.29.152.18	7
33.81.28.253	7
38.83.189.223	4
77.245.129.248	6
97.221.61.252	6
25.193.72.248	4
29.79.138.113	6
106.248.60.172	7
164.220.2.84	7
212.70.200.84	7
243.13.243.218	13
245.99.58.59	6
245.119.208.162	6
245.129.11.125	7
250.104.225.103	4
9.53.151.27	10
195.241.71.236	6
1.194.23.178	5
193.173.186.85	9
212.192.233.178	5
10.81.78.28	6
127.242.150.56	3
240.61.51.189	5
21.234.247.144	8
24.243.154.181	6
75.76.198.230	7
223.156.208.196	7
175.49.16.110	7
52.203.82.81	10
175.136.33.70	5
233.23.5.154	5
25.50.153.252	2
54.31.163.201	3
191.112.103.183	7
16.234.78.156	6
61.183.100.58	6
89.66.171.7	5
10.182.247.176	9
34.180.31.70	9
121.209.200.15	7
225.20.162.55	9
193.217.231.2	13
93.135.174.124	5
179.28.194.161	2
166.100.161.107	6
181.170.40.36	7
200.177.216.27	8
164.33.162.218	7
206.30.217.39	7
100.42.212.254	6
208.210.86.170	5
212.242.136.22	7
195.53.47.147	8
23.170.131.117	7
216.241.201.48	7
202.161.137.20	10
231.187.118.230	5
157.109.209.49	10
191.217.38.245	3
128.120.103.182	9
89.52.87.155	2
233.177.227.184	9
220.180.56.219	10
247.41.56.122	9
252.172.221.112	5
113.248.71.221	6
79.186.77.134	3
92.39.204.62	8
114.130.119.26	3
111.188.42.59	8
12.74.117.213	6
23.151.29.236	3
6.119.125.105	1
13.217.21.181	7
128.205.56.227	9
156.85.87.204	5
185.109.34.183	18
101.50.71.104	5
8.179.73.99	7
64.79.88.159	4
166.129.138.168	6
185.110.121.51	10
190.94.158.38	9
131.211.65.198	4
200.188.4.49	10
35.167.109.251	6
69.79.201.37	7
206.192.250.247	2
143.106.124.54	6
195.172.72.243	14
46.243.102.210	8
25.96.60.114	12
97.162.245.42	6
118.71.234.199	8
200.142.12.249	4
159.4.158.243	10
2.38.83.29	7
68.14.27.130	8
4.75.133.118	7
66.227.184.132	9
74.23.175.189	4
108.232.42.24	14
105.160.139.214	7
128.189.25.63	9
132.244.142.116	11
216.244.71.249	9
59.161.67.235	8
231.114.14.146	6
95.206.237.229	5
131.188.113.246	3
213.181.239.212	8
64.75.33.105	3
66.214.237.38	9
22.94.137.161	5
102.229.147.19	5
197.160.145.107	10
202.120.4.88	6
30.163.15.113	2
78.191.143.185	10
204.70.144.145	8
225.160.58.66	4
170.28.242.177	9
235.28.99.107	6
238.189.90.68	10
242.35.33.211	7
249.57.188.192	6
13.43.144.63	3
239.232.145.209	6
3.204.157.14	10
120.156.6.189	6
253.239.151.5	4
10.217.71.102	7
1.40.215.157	11
20.235.95.37	10
3.96.31.210	9
75.1.143.97	13
20.201.36.98	5
89.170.34.248	8
98.42.224.218	7
129.16.57.95	10
64.146.174.145	6
115.168.61.236	3
71.20.12.116	10
164.92.183.114	8
155.206.55.99	4
166.22.226.7	9
227.144.188.28	7
7.207.221.9	10
172.71.44.123	5
159.87.220.253	4
174.46.189.234	2
247.163.203.13	4
24.69.114.135	9
251.90.145.73	3
110.62.184.92	10
129.57.34.17	10
158.11.8.111	4
190.137.146.163	10
59.90.14.87	6
121.167.36.116	3
200.86.125.85	10
198.67.203.207	9
214.63.2.101	4
14.178.214.117	8
185.14.118.41	4
251.142.32.247	6
50.75.92.175	3
19.72.155.138	8
42.200.254.202	4
220.159.247.11	7
223.196.175.110	8
14.201.35.217	7
133.166.52.87	6
1.106.220.147	5
65.185.184.46	8
87.46.244.38	6
70.164.65.11	7
121.146.158.157	7
128.177.186.206	10
140.88.250.137	4
189.210.13.167	7
248.226.137.67	3
15.145.33.78	7
92.143.219.12	13
14.12.98.60	6
61.163.98.238	7
211.71.160.130	11
97.52.217.225	7
84.252.211.105	10
194.148.216.228	9
174.39.12.68	8
169.253.104.78	8
227.80.157.34	5
10.74.101.28	5
24.215.108.73	5
41.160.6.189	10
89.44.175.38	8
151.86.222.57	13
129.241.52.191	6
231.137.112.201	8
88.189.40.130	10
63.191.202.247	6
76.162.236.8	8
110.137.5.180	14
165.240.177.210	7
78.40.241.195	10
117.212.150.72	7
191.197.88.204	3
37.210.47.152	6
19.103.119.48	10
27.222.63.123	7
120.132.37.193	10
126.165.219.27	8
132.15.123.30	4
29.120.132.123	6
163.182.124.242	7
199.152.99.148	8
108.190.176.206	8
161.53.121.157	9
192.44.71.122	3
195.181.186.41	4
204.92.50.89	8
159.95.233.207	3
207.101.65.51	9
87.102.69.205	6
133.114.205.252	13
147.35.216.103	9
212.144.101.173	4
29.227.48.15	6
234.32.170.72	7
12.89.186.201	12
77.69.90.35	6
237.133.62.100	2
49.201.12.2	6
133.189.92.158	4
33.244.51.54	6
91.57.137.185	7
145.77.237.160	7
147.21.109.234	3
157.198.160.241	8
176.121.61.229	7
48.208.17.56	9
214.125.48.198	6
106.22.166.218	6
46.4.162.179	9
46.62.66.154	6
66.101.165.183	8
24.27.215.152	6
24.43.137.71	5
68.151.157.53	7
124.251.151.16	7
40.149.196.216	4
104.37.41.17	6
123.53.18.198	8
145.178.108.150	2
153.66.151.168	10
181.231.225.224	8
226.176.133.74	13
233.185.87.88	10
45.98.32.107	8
178.27.168.62	8
231.52.236.192	6
44.234.175.219	8
108.221.24.82	8
64.167.52.229	7
134.78.230.86	6
199.224.136.120	9
206.47.240.83	9
5.115.34.54	10
80.237.239.245	10
11.115.153.192	6
76.166.148.44	10
83.41.220.224	5
105.172.185.227	7
111.95.174.182	5
211.27.91.247	6
189.24.16.162	7
168.116.225.142	4
33.200.50.1	5
41.126.183.22	9
174.183.251.92	9
237.218.117.76	5
13.41.167.254	11
118.249.125.197	7
3.245.39.190	3
31.5.109.105	5
12.35.157.60	6
71.164.134.129	7
126.216.176.91	10
162.251.106.20	8
219.175.64.39	3
240.189.254.106	10
244.58.199.242	6
224.216.249.212	3
228.218.66.127	7
64.95.76.189	5
129.23.124.107	6
48.204.161.160	6
44.106.84.74	6
28.58.190.42	6
54.148.26.87	16
38.157.203.40	2
61.26.156.242	7
32.107.68.75	4
23.114.140.165	10
68.254.235.185	12
11.30.236.167	7
119.2.12.99	1
141.102.122.184	8
189.38.92.171	7
42.24.253.170	8
118.46.83.209	11
227.11.41.186	5
173.244.30.136	6
106.156.250.161	6
166.164.79.222	5
181.117.147.52	5
67.12.51.120	9
233.171.159.254	7
49.70.25.165	6
205.35.35.48	9
244.121.227.14	5
245.124.8.153	7
152.73.34.240	9
248.21.197.37	11
1.14.27.28	8
248.103.103.122	6
252.120.15.197	10
115.73.235.15	10
140.251.107.175	8
98.219.115.201	13
241.83.222.234	12
134.50.228.152	6
5.95.211.74	8
64.66.100.160	3
92.248.198.81	9
219.67.108.21	11
143.207.2.124	13
149.161.153.236	1
81.153.115.25	7
252.19.149.180	5
204.181.153.74	5
229.181.65.16	5
44.148.208.133	9
48.105.29.71	7
49.194.241.43	11
68.46.146.26	6
98.227.133.177	9
71.212.234.92	7
78.50.203.4	5
19.67.11.64	5
111.31.129.106	9
126.248.228.182	9
102.106.105.37	7
134.52.185.230	4
145.46.179.41	9
82.68.70.217	3
185.70.41.192	11
202.2.88.243	2
169.210.163.190	2
85.240.29.164	7
61.74.12.221	5
145.9.204.198	13
118.113.174.238	9
59.26.121.120	5
207.159.34.177	4
250.253.26.88	10
91.5.76.19	8
125.174.23.9	5
127.3.128.61	4
117.7.237.166	5
72.58.12.252	5
79.90.26.131	6
80.30.176.252	7
101.79.122.64	5
118.238.110.212	5
37.199.102.16	6
97.90.124.245	7
109.142.170.7	7
124.227.34.16	6
30.138.126.142	4
77.192.205.33	4
130.240.198.221	13
143.174.61.127	6
15.143.68.70	5
47.87.130.118	6
114.78.237.204	4
144.115.49.11	10
149.65.189.54	6
158.144.200.30	8
209.74.243.127	8
122.52.102.209	2
164.144.224.11	10
212.38.170.93	2
51.193.46.196	6
116.57.15.161	9
101.8.24.254	11
160.90.27.248	7
185.250.97.111	5
73.163.198.165	5
93.159.242.66	7
151.25.187.246	9
119.101.16.10	10
187.35.231.108	8
201.184.100.146	5
45.185.58.84	7
217.65.119.93	10
69.19.93.153	4
95.176.25.111	7
217.96.157.248	7
229.151.91.241	9
93.143.230.104	5
122.155.46.238	5
178.136.82.97	12
160.190.109.99	10
150.148.114.67	6
165.208.101.108	1
207.175.54.34	7
195.129.232.177	6
228.81.39.78	7
150.108.100.133	4
129.114.120.106	8
227.214.240.103	4
231.24.14.143	8
186.169.52.135	10
232.19.122.127	4
98.175.81.141	7
174.52.175.137	9
88.235.156.94	3
66.16.163.78	4
232.134.81.10	10
247.151.152.250	6
77.105.8.52	8
248.254.16.83	4
251.204.66.127	6
202.13.77.17	6
146.46.187.150	6
167.202.128.87	7
5.37.122.5	8
81.230.199.90	15
70.158.243.234	7
72.115.144.127	5
183.239.82.82	7
24.90.18.114	7
39.88.219.198	4
91.95.91.211	7
61.159.225.15	4
207.66.73.48	9
221.95.128.221	10
215.188.97.218	3
224.75.192.135	5
136.132.18.180	3
11.161.203.31	4
9.253.242.108	5
102.61.198.98	6
157.104.217.153	3
65.208.159.96	5
196.238.42.9	9
29.91.119.63	8
115.23.124.61	3
9.191.250.103	4
20.250.111.215	10
59.161.195.181	10
57.53.6.39	9
79.121.104.115	8
12.10.108.74	8
39.48.153.177	7
43.78.40.176	10
79.220.192.142	6
20.242.129.33	8
80.246.85.16	4
102.222.172.77	4
112.32.90.108	5
125.219.34.175	2
126.241.252.204	3
131.96.100.208	6
150.41.91.138	5
39.240.232.111	6
57.232.26.113	3
12.100.167.220	4
62.56.246.219	9
81.93.164.151	4
99.163.52.198	9
126.186.1.38	6
153.204.140.67	15
135.195.153.102	10
163.113.43.46	6
191.3.206.42	7
193.33.243.172	7
201.249.10.39	9
46.139.164.249	6
212.47.4.117	10
214.106.146.76	9
222.133.48.50	16
167.143.68.40	7
124.87.203.159	4
48.173.8.107	8
68.220.19.52	4
13.97.154.214	5
100.230.111.221	10
26.56.63.120	4
235.85.210.235	8
13.198.145.144	7
236.60.245.77	4
243.24.106.36	12
124.141.248.230	3
25.231.198.141	5
244.81.68.162	7
73.87.51.93	11
201.236.246.145	6
246.155.217.28	7
166.192.120.158	7
188.96.228.124	7
232.101.130.160	13
3.247.215.144	13
188.92.114.174	5
80.208.234.84	8
169.248.158.236	6
47.107.88.158	8
107.139.94.178	9
152.22.104.253	6
13.1.153.24	10
112.233.159.184	3
45.222.99.216	8
129.192.78.191	7
161.123.162.218	7
182.250.131.19	5
50.135.236.166	8
43.5.96.26	6
190.88.176.50	6
177.86.91.118	9
68.121.138.233	4
194.243.135.116	8
203.85.145.206	4
205.220.226.153	9
30.165.72.42	4
13.70.111.81	6
58.20.59.77	4
135.113.88.252	9
215.102.188.151	8
151.58.54.189	4
53.37.221.72	12
25.54.67.62	7
1.62.196.242	4
63.25.131.50	7
223.174.104.22	5
72.153.226.32	6
56.185.242.139	5
120.112.242.101	5
71.229.220.250	10
30.155.70.138	5
86.249.86.175	5
151.191.52.200	7
101.107.86.40	11
155.33.208.154	4
158.210.164.37	5
241.7.32.161	4
243.141.164.153	9
216.25.178.23	5
162.80.16.248	5
223.83.23.17	5
246.97.47.121	9
246.159.158.81	3
147.168.194.67	13
1.114.178.125	6
94.230.11.80	4
172.154.90.156	10
247.137.127.241	12
248.217.140.45	6
43.12.181.237	4
66.182.186.60	8
124.142.198.125	6
162.3.64.50	7
210.25.118.167	9
249.212.199.225	6
251.206.146.144	7
254.11.177.117	2
206.213.250.7	6
91.145.28.120	9
123.176.205.9	8
25.187.139.207	6
83.11.191.179	3
135.226.194.244	9
182.240.184.247	13
247.128.161.194	8
1.74.116.86	9
46.10.210.214	12
30.95.15.249	5
170.235.218.101	6
47.105.152.52	10
156.39.209.133	8
102.68.79.133	3
59.5.54.131	2
111.126.52.247	7
139.40.115.235	8
207.76.122.50	3
234.140.211.217	8
40.251.28.23	7
97.71.99.212	5
17.40.56.99	8
109.226.142.171	5
195.189.121.162	4
149.235.29.89	6
93.134.36.202	8
151.120.138.43	3
1.122.59.43	4
23.151.181.10	11
238.239.23.196	6
11.104.241.125	6
67.84.83.92	9
243.19.86.208	4
98.204.203.247	10
55.55.15.9	4
162.174.107.210	6
225.58.112.239	7
87.200.226.236	5
1.47.229.28	7
117.10.79.1	5
218.198.31.127	4
229.196.3.243	8
97.74.101.37	9
84.171.102.116	9
26.3.160.38	3
80.182.166.243	4
109.153.43.14	10
115.19.229.118	6
110.29.151.139	6
141.238.44.25	4
124.223.195.95	5
195.59.241.192	3
225.100.21.75	7
231.46.154.156	9
4.210.80.44	13
120.145.124.155	2
240.245.211.149	8
247.152.192.40	3
188.137.27.243	11
224.6.28.239	10
2.208.24.101	6
7.65.171.54	3
1.66.203.143	4
59.253.27.110	7
43.4.61.20	6
62.187.157.203	7
79.40.65.104	10
103.199.63.9	7
121.57.81.11	13
163.146.144.173	3
53.77.60.176	7
106.134.104.172	8
1.76.163.138	5
80.217.100.91	6
94.92.31.49	6
175.20.147.147	5
173.65.76.204	7
134.167.120.9	2
13.164.240.77	10
113.186.234.244	5
148.248.231.227	6
59.178.19.217	4
136.46.30.182	8
148.106.67.126	5
176.170.7.143	6
171.63.190.249	5
103.67.65.32	12
30.24.26.179	5
222.135.36.99	9
20.56.121.199	6
62.52.226.106	4
209.236.24.124	5
35.203.195.66	7
69.43.34.135	7
114.23.63.46	7
6.237.135.202	6
176.211.114.215	7
203.247.131.190	9
16.168.192.219	3
33.129.147.143	7
78.60.217.72	9
26.59.10.59	3
163.89.157.119	7
123.122.71.13	9
129.138.180.176	7
109.27.35.222	10
141.184.226.128	5
187.113.30.31	6
225.141.118.57	6
128.131.187.27	8
152.67.173.185	13
114.175.14.124	10
86.57.31.101	10
58.148.76.231	9
71.135.111.207	4
237.58.196.174	10
18.15.18.26	4
221.81.155.88	7
91.148.79.214	8
233.195.63.39	5
234.106.165.41	8
141.44.212.213	8
245.169.45.71	5
203.216.45.17	8
120.168.241.164	5
247.158.81.46	5
248.56.77.213	13
219.200.192.242	4
206.81.4.66	8
113.38.61.3	4
252.190.38.169	8
73.238.16.158	7
124.163.33.158	6
21.200.104.112	2
60.69.101.146	5
138.16.35.142	10
242.26.178.24	9
102.28.242.205	4
155.169.92.210	6
168.29.78.85	5
179.249.15.36	4
6.213.225.177	6
31.45.199.246	11
21.101.213.223	10
105.20.137.140	10
125.8.100.135	8
238.190.16.186	12
15.48.179.211	11
60.32.8.252	9
80.224.61.14	4
174.10.58.4	6
104.181.168.175	4
203.196.190.169	6
219.115.204.224	10
55.194.5.46	8
8.121.254.49	8
35.97.3.158	14
77.13.31.162	3
128.63.26.155	3
242.208.192.153	8
181.160.225.7	7
198.217.46.70	10
80.150.216.147	4
221.57.144.39	5
176.92.16.166	7
44.40.93.176	5
202.27.211.35	9
82.82.29.19	6
9.42.194.247	8
60.168.120.15	3
30.200.181.213	8
213.70.140.12	7
146.49.137.86	7
12.188.168.7	8
30.240.7.247	12
52.196.135.138	8
86.251.136.220	6
223.214.251.199	11
112.212.27.47	5
74.187.81.167	3
238.176.33.206	7
38.197.164.171	6
13.100.142.184	11
50.113.249.234	8
78.126.130.13	11
28.23.244.155	9
145.109.94.39	5
194.239.218.104	2
207.190.156.52	6
211.137.5.113	6
7.171.179.62	6
79.28.118.27	10
216.66.53.230	5
224.115.1.203	8
170.155.106.237	9
174.33.135.3	6
131.92.70.81	4
35.168.59.80	4
168.166.154.128	5
242.54.49.41	7
44.79.183.13	3
62.84.22.238	8
48.119.162.24	6
21.9.240.243	6
54.57.59.5	10
16.118.24.176	3
100.188.112.186	4
181.46.7.185	5
107.251.34.72	6
146.91.135.154	10
185.114.99.253	5
143.33.183.41	6
63.72.52.52	9
29.141.99.244	1
194.106.220.207	7
226.178.216.176	10
66.88.206.220	7
78.251.80.122	9
24.135.209.48	7
7.110.239.196	3
47.28.71.109	6
108.77.63.58	8
119.125.136.103	7
135.150.72.154	6
197.173.96.10	5
230.86.221.66	8
1.36.210.131	11
11.221.22.211	10
182.34.34.236	6
170.135.213.93	8
51.47.83.244	5
105.173.22.213	10
251.87.12.245	5
203.50.58.190	7
153.180.157.43	3
164.45.66.91	5
57.27.233.16	9
219.60.171.33	6
218.112.233.214	1
39.112.234.145	6
162.177.128.41	6
95.157.100.153	6
92.234.154.224	8
182.146.43.145	1
35.22.171.106	4
45.89.117.37	6
48.104.121.112	9
76.186.169.117	8
88.248.161.190	9
225.183.81.203	3
56.122.201.182	8
84.27.151.15	7
99.77.209.157	7
12.162.107.247	9
80.5.82.68	5
27.9.190.12	9
140.122.212.135	15
160.209.226.139	10
60.51.217.71	7
179.128.245.213	4
140.97.62.25	9
8.222.236.71	8
38.26.3.87	6
186.16.56.118	5
188.89.82.190	5
105.195.122.133	6
139.242.85.43	9
15.177.187.190	7
68.119.169.52	6
105.84.54.252	9
91.81.8.65	6
113.23.251.75	5
118.160.39.91	8
191.77.220.93	10
193.83.129.19	10
198.49.213.139	7
208.223.118.110	5
193.170.121.196	8
60.118.235.17	10
214.97.108.63	4
51.153.71.175	7
186.238.24.115	6
97.243.234.130	7
45.23.196.197	9
105.127.216.119	5
152.22.47.42	7
180.36.81.124	5
219.14.74.249	5
219.129.119.117	8
221.133.120.14	8
112.193.140.71	7
227.143.101.248	9
230.108.233.253	10
233.182.216.145	4
16.174.99.85	11
46.27.225.70	7
178.5.226.61	9
167.162.54.128	7
168.34.46.29	7
174.94.82.138	6
186.180.142.94	9
237.17.152.192	6
238.113.73.178	7
239.193.208.244	4
183.43.78.248	7
114.203.8.73	6
10.80.59.30	6
29.74.159.157	7
35.148.123.14	7
63.122.129.224	4
55.127.211.190	6
89.7.191.121	8
140.5.163.157	7
113.240.207.238	5
87.218.19.91	6
156.171.82.240	6
73.151.59.5	2
107.161.243.69	10
132.174.16.225	8
23.122.220.27	10
152.219.49.4	5
154.1.79.55	7
178.232.20.31	7
190.64.26.101	3
192.67.128.225	12
195.161.167.41	6
207.189.120.68	4
217.137.151.214	6
137.92.233.109	3
238.55.228.249	16
91.21.115.42	2
124.237.72.244	5
40.18.87.192	5
138.211.121.56	2
109.186.149.21	6
145.2.60.144	7
104.29.3.9	8
27.107.103.44	4
27.196.2.232	9
6.141.238.123	9
31.210.241.21	10
75.43.87.127	3
27.86.8.151	10
48.188.95.103	6
100.39.189.42	7
108.154.93.157	7
87.125.159.156	13
13.233.67.194	8
129.176.198.91	8
103.129.225.215	7
139.19.207.36	5
148.86.58.37	7
165.118.150.166	12
141.46.175.8	5
70.108.171.3	7
117.99.158.176	7
187.10.60.156	5
147.60.115.206	5
163.112.91.222	6
178.178.20.209	11
189.230.81.123	5
5.137.126.116	7
33.41.236.246	11
38.197.7.16	12
24.231.192.48	1
138.107.64.226	7
140.239.219.5	9
194.225.172.206	5
200.173.12.64	7
201.65.177.183	4
97.210.2.153	5
110.89.107.134	7
185.245.16.227	7
157.193.127.175	8
202.29.183.168	6
207.40.21.209	7
151.26.35.23	9
209.60.88.131	5
211.124.56.240	10
220.244.7.88	5
221.83.106.164	3
21.20.235.190	14
24.157.19.121	11
84.98.30.225	9
202.84.104.250	5
228.92.205.152	7
229.83.193.71	7
112.56.140.249	7
203.55.21.68	7
232.170.46.4	4
173.150.108.37	4
95.117.57.44	11
119.77.234.197	7
218.99.80.68	6
236.112.171.212	6
237.61.90.169	6
140.231.23.183	8
239.104.171.134	12
216.33.159.187	9
63.109.20.141	6
196.190.37.174	4
213.218.179.100	2
168.43.91.45	4
243.243.118.234	10
244.10.248.128	9
81.224.206.251	5
23.90.224.62	8
142.138.9.72	10
146.88.46.211	4
206.9.179.89	8
114.109.39.198	5
3.182.165.188	12
114.172.122.28	4
117.175.168.66	6
148.76.27.139	10
84.75.154.67	9
156.97.187.35	3
119.22.188.207	3
177.223.15.142	7
133.11.194.228	5
44.152.67.92	7
19.87.36.142	4
240.103.113.182	4
9.221.74.189	9
47.206.125.239	4
182.87.47.62	5
213.238.238.88	5
147.121.19.41	5
234.118.138.247	6
108.189.205.201	6
244.135.201.174	9
43.56.183.32	3
244.172.38.47	12
245.34.122.246	8
147.66.8.244	7
246.58.142.86	10
57.93.137.63	5
156.89.236.53	8
102.23.236.177	5
117.72.95.124	9
31.144.19.14	6
128.119.236.253	7
45.110.39.142	4
217.244.188.213	6
250.102.170.107	6
251.62.213.34	8
251.207.107.240	12
213.51.3.35	12
252.158.155.19	8
254.77.195.77	3
117.243.245.209	10
114.84.99.81	10
128.232.1.253	4
137.227.59.27	5
140.38.40.194	4
165.135.28.77	5
147.122.196.153	2
249.143.142.13	3
47.227.2.166	5
142.148.62.226	7
160.76.253.153	12
135.102.224.187	6
16.111.251.182	12
210.98.249.190	6
124.71.32.241	7
236.143.141.206	5
249.2.90.145	3
17.55.112.35	3
19.83.235.205	5
42.132.45.14	4
145.64.77.83	9
206.4.101.213	6
76.200.234.52	10
228.186.97.75	8
170.152.215.77	8
130.31.181.252	5
38.234.35.216	6
159.69.17.21	6
214.14.5.159	9
46.169.74.108	9
156.206.152.11	3
142.206.121.9	9
225.120.50.4	6
218.63.15.91	7
110.105.173.11	8
4.69.203.240	5
41.52.113.181	12
53.224.104.123	7
104.96.102.37	9
136.111.82.228	3
244.225.42.163	5
35.151.50.143	5
109.117.241.11	2
109.129.118.212	9
5.241.69.183	5
234.50.132.220	10
80.183.2.41	4
244.220.177.99	2
80.89.149.168	8
66.100.235.52	6
95.228.214.67	4
20.139.163.65	5
79.97.218.166	7
192.233.141.226	6
49.202.64.174	8
204.184.94.156	4
130.136.119.233	8
57.216.186.99	1
96.25.73.186	8
211.238.204.209	4
229.104.6.28	4
235.196.105.200	3
22.67.238.85	7
42.79.106.240	3
179.206.191.3	5
125.47.84.111	8
28.45.214.107	7
46.240.7.191	8
193.57.66.145	8
235.201.200.120	14
236.72.141.226	7
2.249.140.54	4
218.44.71.181	7
42.252.189.157	12
96.144.75.115	10
24.3.146.4	6
9.9.117.244	5
87.83.253.220	5
110.38.83.250	7
224.205.204.146	3
190.249.195.179	5
250.107.132.240	5
18.87.6.180	4
132.52.192.209	11
34.52.72.61	4
61.244.171.10	11
27.206.189.162	6
33.100.152.118	8
59.234.254.125	8
94.97.197.229	7
95.197.166.143	8
116.99.106.158	9
19.211.67.249	7
116.236.16.141	2
135.17.232.67	9
147.27.60.46	5
239.91.244.59	3
162.146.149.153	7
247.59.39.163	8
15.66.91.222	10
21.253.231.174	12
57.201.145.184	10
144.200.103.185	7
210.89.153.159	4
227.45.3.101	6
103.121.209.252	9
212.74.102.181	12
193.13.21.235	6
70.151.71.113	8
90.80.51.184	8
101.180.169.162	6
118.28.177.244	9
162.169.196.64	7
106.8.62.135	6
232.206.199.124	3
113.222.197.91	6
142.133.75.27	2
175.69.96.31	6
172.161.142.125	7
21.113.14.152	7
161.196.200.3	9
181.162.238.61	6
101.69.147.83	5
86.226.98.138	6
21.247.183.33	11
181.201.179.205	7
215.185.64.217	7
203.35.187.103	4
31.149.160.27	8
90.185.195.116	7
143.180.157.231	8
103.97.47.37	9
112.115.155.182	5
181.232.40.238	5
74.115.195.250	10
51.214.227.230	14
147.68.144.59	8
161.36.148.94	6
165.176.59.150	6
99.109.232.208	8
184.173.72.158	10
11.6.69.13	7
189.97.29.65	6
216.18.203.37	8
216.37.174.168	5
230.20.187.58	12
16.51.167.104	4
120.85.64.124	5
140.106.85.5	4
90.136.128.94	7
97.164.67.173	5
99.98.247.225	4
100.64.92.174	4
10.111.40.115	7
12.207.132.200	7
119.168.46.213	6
207.38.228.59	5
210.72.102.27	10
30.208.45.150	7
218.159.208.71	3
171.3.86.130	7
107.141.227.42	6
